Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,129585,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,3/31/17
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,163768.21,1/26/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
Department of State,,,Information Redacted,,Emergency Assistance for VZ,Venezuela,,0,,,,Original - VOLUNTARY CONTRIBUTIONS,263696,2/1/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,26000,2/27/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,370996,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,6/30/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,1439.23,3/31/15,2015,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/15
Department of State,,,Information Redacted,,HIAS Psychosocial Assistance,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,205192.22,11/27/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,192467,9/30/15,2015,4,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2013,2014,9/30/15
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/17,9/30/18,,214297.01,12/31/17,2018,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/17
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,36191.5,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,6/30/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,20274.79,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,3/31/17
U.S. Agency for International Development,,,80765420,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,1862,12/31/18,2019,1,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,12/31/18
U.S. Agency for International Development,,,790238638,Direct Appropriation,Program Design and Learning,Venezuela,Finalisation,747940.4,,10/1/14,9/30/16,,2337.23,6/30/16,2016,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2015,2016,6/30/16
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-194.12,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2008,0,12/31/12
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,500000,9/30/16,9/30/16,12/31/20,,800000,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1350000,4/1/14,3/31/14,9/30/20,,1000,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,6/30/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,4094543,4/1/14,3/31/14,3/31/20,,6262.78,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2015,2016,12/31/18
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,470.56,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Tied,Disaster prevention and preparedness,Humanitarian Assistance,2019,0,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/13,9/30/14,,-14726.03,9/30/14,2014,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/14
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,12660.11,8/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,6325.77,9/30/15,2015,4,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,9/30/15
U.S. Agency for International Development,Government,United States,,Direct Appropriation,"USAID Communications, Utilities, and Rental Payments",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,60000,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,3450000,8/31/15,8/31/15,9/30/20,,203158,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2112000,4/1/14,3/31/14,3/31/20,,700000,3/31/17,2017,2,Commitment,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2016,2017,3/31/17
U.S. Agency for International Development,National NGO,United States,602035727,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,140024,,10/1/18,9/30/19,,140024,6/30/19,2019,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,10600,9/30/13,2013,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,9/30/13
U.S. Agency for International Development,National NGO,United States,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,88672,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,Multilateral,,17698452,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Finalisation,500000,,10/1/17,9/30/18,,500000,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
Department of the Interior,Regional NGO,Venezuela,886757087,Direct Appropriation,MIGRATORY BIRD CONSERVATION THROUGH COFF,Venezuela,Implementation,31570,8/10/17,8/10/17,8/10/19,3 - Disbursement,30785,5/23/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Environmental policy and administrative management,Environment,2017,2017,7/2/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,186658,12/31/14,2015,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2013,2014,12/31/14
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Finalisation,0,,10/1/18,9/30/19,,74143.73,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/17,9/30/18,,198335.63,9/30/18,2018,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/15,9/30/16,,197360.56,9/30/16,2016,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/16
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,14182,3/31/13,2013,2,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2011,2012,3/31/13
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Communications, Utilities, and Rental Payments",Venezuela,Finalisation,0,,10/1/18,9/30/19,,60000,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,,,81159512,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,903295.27,,10/1/17,9/30/19,,23790.34,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,108672,6/30/15,2015,3,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2014,2015,6/30/15
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,2785000,4/1/14,3/31/14,9/30/20,,177147,12/31/16,2017,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,12/31/16
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,11000,2/27/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/5/19
U.S. Agency for International Development,Private Sector,,80125306,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,199412.88,,10/1/17,9/30/19,,199412.88,9/30/18,2018,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,2440000,4/1/14,3/31/14,9/30/20,,190994,3/31/16,2016,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,3/31/16
U.S. Agency for International Development,Multilateral,,,Direct Appropriation,Emergency Assistance to support,Venezuela,Implementation,1209707,9/20/18,9/20/18,9/30/19,,31786,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,6/30/19
